Welcome to SHARC!

         41793450 function calls (41758184 primitive calls) in 87.491 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15960    0.018    0.000    0.046    0.000 {method 'clip' of 'numpy.generic' objects}
       77    0.000    0.000    0.046    0.001 dataclasses.py:1257(wrap)
       77    0.003    0.000    0.046    0.001 dataclasses.py:921(_process_class)
        3    0.000    0.000    0.045    0.015 _base.py:1(<module>)
      171    0.000    0.000    0.045    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.042    0.042 logging.py:1(<module>)
    10673    0.009    0.000    0.041    0.000 _ufunc_config.py:430(__enter__)
        1    0.000    0.000    0.041    0.041 _fitpack_py.py:1(<module>)
        1    0.000    0.000    0.040    0.040 patches.py:1(<module>)
        1    0.000    0.000    0.040    0.040 _bsplines.py:1(<module>)
     2928    0.002    0.000    0.040    0.000 parser.py:270(parse_block_node_or_indentless_sequence)
     2785    0.012    0.000    0.039    0.000 <frozen importlib._bootstrap>:304(acquire)
       77    0.000    0.000    0.039    0.001 dataclasses.py:1240(dataclass)
     2952    0.009    0.000    0.039    0.000 parser.py:273(parse_node)
        1    0.000    0.000    0.038    0.038 axes3d.py:1(<module>)
      223    0.012    0.000    0.038    0.000 artist.py:1517(get_setters)
    10640    0.018    0.000    0.036    0.000 type_check.py:393(_getmaxmin)
       39    0.000    0.000    0.036    0.001 base.py:7770(get_values_for_csv)
     2660    0.033    0.000    0.035    0.000 simulation.py:599(calculate_imt_tput)
     1289    0.013    0.000    0.035    0.000 inspect.py:2366(_signature_from_function)
    10673    0.009    0.000    0.035    0.000 _ufunc_config.py:435(__exit__)
       13    0.000    0.000    0.035    0.003 frame.py:1400(_get_values_for_csv)
       13    0.000    0.000    0.035    0.003 managers.py:459(get_values_for_csv)
       13    0.000    0.000    0.035    0.003 managers.py:317(apply)
       13    0.000    0.000    0.035    0.003 blocks.py:775(get_values_for_csv)
      107    0.035    0.000    0.035    0.000 {method 'astype' of 'numpy.ndarray' objects}
       16    0.034    0.002    0.034    0.002 propagation_uma.py:223(get_breakpoint_distance)
       42    0.001    0.000    0.034    0.001 _axis_nan_policy.py:389(axis_nan_policy_decorator)
      281    0.001    0.000    0.033    0.000 _parser.py:969(parse)
        1    0.000    0.000    0.033    0.033 parameters_imt.py:127(load_parameters_from_file)
     1212    0.003    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.033    0.033 parameters_general.py:23(load_parameters_from_file)
     5772    0.003    0.000    0.033    0.000 __init__.py:174(search)
    16010    0.033    0.000    0.033    0.000 _methods.py:90(_clip)
    42060    0.032    0.000    0.033    0.000 {method 'extend' of 'list' objects}
  665/281    0.002    0.000    0.032    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.032    0.032 parameters_mss_ss.py:94(load_parameters_from_file)
        1    0.000    0.000    0.032    0.032 parameters_mss_d2d.py:88(load_parameters_from_file)
        1    0.000    0.000    0.032    0.032 parameters_fss_ss.py:70(load_parameters_from_file)
        1    0.000    0.000    0.032    0.032 parameters_fs.py:55(load_parameters_from_file)
        9    0.000    0.000    0.031    0.003 _base.py:729(__init_subclass__)
        1    0.000    0.000    0.031    0.031 parameters_haps.py:53(load_parameters_from_file)
        1    0.000    0.000    0.031    0.031 parameters_fss_es.py:137(load_parameters_from_file)
        1    0.000    0.000    0.031    0.031 parameters_rns.py:49(load_parameters_from_file)
        1    0.000    0.000    0.031    0.031 _testutils.py:1(<module>)
  773/286    0.012    0.000    0.031    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.031    0.031 _sketches.py:1(<module>)
        1    0.000    0.000    0.031    0.031 parameters.py:1(<module>)
        1    0.000    0.000    0.031    0.031 parameters_eess_ss.py:73(load_parameters_from_file)
        1    0.000    0.000    0.031    0.031 parameters_space_station.py:66(load_parameters_from_file)
      265    0.001    0.000    0.030    0.000 dataclasses.py:449(_create_fn)
    35952    0.015    0.000    0.029    0.000 scanner.py:145(need_more_tokens)
     1069    0.000    0.000    0.029    0.000 tags.py:533(sys_tags)
     1566    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap>:416(__enter__)
        5    0.000    0.000    0.029    0.006 core.py:1(<module>)
   312060    0.028    0.000    0.028    0.000 reader.py:87(peek)
     8130    0.006    0.000    0.028    0.000 fromnumeric.py:423(repeat)
       42    0.000    0.000    0.028    0.001 _docscrape.py:562(__init__)
        1    0.000    0.000    0.028    0.028 _fontconfig_pattern.py:1(<module>)
     1219    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      722    0.004    0.000    0.027    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.027    0.027 index_tricks.py:1(<module>)
    10640    0.027    0.000    0.027    0.000 ufunclike.py:71(isposinf)
      281    0.000    0.000    0.026    0.000 _compiler.py:573(_code)
        2    0.000    0.000    0.026    0.013 linalg.py:1(<module>)
  832/728    0.001    0.000    0.026    0.000 typing.py:392(inner)
    64555    0.025    0.000    0.025    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.025    0.025 multiarray.py:1(<module>)
   174558    0.024    0.000    0.024    0.000 {method 'append' of 'list' objects}
       42    0.000    0.000    0.024    0.001 _docscrape.py:140(__init__)
        1    0.000    0.000    0.024    0.024 defmatrix.py:1(<module>)
     1419    0.004    0.000    0.024    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      562    0.000    0.000    0.023    0.000 tags.py:316(compatible_tags)
      136    0.000    0.000    0.023    0.000 _docstring.py:38(__call__)
  126/115    0.000    0.000    0.023    0.000 _docstring.py:79(__call__)
     2424    0.007    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        2    0.000    0.000    0.022    0.011 overrides.py:1(<module>)
   121944    0.021    0.000    0.022    0.000 {built-in method builtins.getattr}
     5551    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      391    0.003    0.000    0.021    0.000 _util.py:362(getfullargspec_no_self)
     2652    0.009    0.000    0.021    0.000 scanner.py:1311(scan_plain_spaces)
     2785    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.020    0.020 colors.py:1(<module>)
    56287    0.020    0.000    0.020    0.000 {built-in method numpy.asarray}
   131038    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
